image_id,device_id,timestamp,source_type,image_path,processed_path,width,height,brightness,blur_score,roi,threshold_val,canny_low,canny_high,processing_status,processing_time_ms,note
img_05515104ad,upload_dashboard,2026-06-10T09:19:01,upload,data\raw_images\img_05515104ad.jpg,data\processed_images\img_05515104ad_processed_advanced.jpg,660,376,87.6,444.28,full,120,80,160,processed,19.25,filename=8kEvVVf66lPd79IGk1m39hdv6b1UkYWf5Ihb9FLmtxHlHGUZ8HJuSmTmRuzsSeJOx_H5UdrTfk4chuntemW3Cw.webp
img_7052c87a8a,upload_dashboard,2026-06-10T09:19:01,upload,data\raw_images\img_7052c87a8a.jpg,data\processed_images\img_7052c87a8a_processed_advanced.jpg,660,376,87.6,444.28,full,120,80,160,processed,21.16,filename=8kEvVVf66lPd79IGk1m39hdv6b1UkYWf5Ihb9FLmtxHlHGUZ8HJuSmTmRuzsSeJOx_H5UdrTfk4chuntemW3Cw.webp
img_9387baab6f,upload_dashboard,2026-06-10T09:19:01,upload,data\raw_images\img_9387baab6f.jpg,data\processed_images\img_9387baab6f_processed_advanced.jpg,660,376,87.6,444.28,full,120,80,160,processed,19.85,filename=8kEvVVf66lPd79IGk1m39hdv6b1UkYWf5Ihb9FLmtxHlHGUZ8HJuSmTmRuzsSeJOx_H5UdrTfk4chuntemW3Cw.webp
img_615fe2f717,upload_dashboard,2026-06-10T09:19:01,upload,data\raw_images\img_615fe2f717.jpg,data\processed_images\img_615fe2f717_processed_advanced.jpg,660,376,87.6,444.28,full,120,80,160,processed,22.16,filename=8kEvVVf66lPd79IGk1m39hdv6b1UkYWf5Ihb9FLmtxHlHGUZ8HJuSmTmRuzsSeJOx_H5UdrTfk4chuntemW3Cw.webp
img_2309d6c67c,upload_dashboard,2026-06-10T09:19:04,upload,data\raw_images\img_2309d6c67c.jpg,data\processed_images\img_2309d6c67c_processed_advanced.jpg,512,341,51.51,313.7,full,120,80,160,processed,27.27,filename=unnamed.jpg
img_b7b37604e0,upload_dashboard,2026-06-10T09:19:04,upload,data\raw_images\img_b7b37604e0.jpg,data\processed_images\img_b7b37604e0_processed_advanced.jpg,512,341,51.51,313.7,full,120,80,160,processed,26.15,filename=unnamed.jpg
img_49191ec270,upload_dashboard,2026-06-10T09:19:04,upload,data\raw_images\img_49191ec270.jpg,data\processed_images\img_49191ec270_processed_advanced.jpg,512,341,51.51,313.7,full,120,80,160,processed,25.92,filename=unnamed.jpg
img_f5796f001b,upload_dashboard,2026-06-10T09:19:04,upload,data\raw_images\img_f5796f001b.jpg,data\processed_images\img_f5796f001b_processed_advanced.jpg,512,341,51.51,313.7,full,120,80,160,processed,25.39,filename=unnamed.jpg
img_36e32c2e2a,upload_dashboard,2026-06-10T09:19:04,upload,data\raw_images\img_36e32c2e2a.jpg,data\processed_images\img_36e32c2e2a_processed_advanced.jpg,512,341,51.51,313.7,full,120,80,160,processed,31.08,filename=unnamed.jpg
img_c06bd35b45,upload_dashboard,2026-06-10T09:19:04,upload,data\raw_images\img_c06bd35b45.jpg,data\processed_images\img_c06bd35b45_processed_advanced.jpg,512,341,51.51,313.7,full,120,80,160,processed,29.41,filename=unnamed.jpg
img_0f9bbc6489,upload_dashboard,2026-06-10T09:19:04,upload,data\raw_images\img_0f9bbc6489.jpg,data\processed_images\img_0f9bbc6489_processed_advanced.jpg,512,341,51.51,313.7,full,120,80,160,processed,34.1,filename=unnamed.jpg
img_195148a634,upload_dashboard,2026-06-10T09:19:04,upload,data\raw_images\img_195148a634.jpg,data\processed_images\img_195148a634_processed_advanced.jpg,512,341,51.51,313.7,full,120,80,160,processed,31.6,filename=unnamed.jpg
img_ac15a49325,upload_dashboard,2026-06-10T09:19:04,upload,data\raw_images\img_ac15a49325.jpg,data\processed_images\img_ac15a49325_processed_advanced.jpg,512,341,51.51,313.7,full,120,80,160,processed,32.03,filename=unnamed.jpg
img_2efd924db4,upload_dashboard,2026-06-10T09:19:04,upload,data\raw_images\img_2efd924db4.jpg,data\processed_images\img_2efd924db4_processed_advanced.jpg,512,341,51.51,313.7,full,120,80,160,processed,38.77,filename=unnamed.jpg
img_18919d8ca3,upload_dashboard,2026-06-10T09:19:05,upload,data\raw_images\img_18919d8ca3.jpg,data\processed_images\img_18919d8ca3_processed_advanced.jpg,512,341,51.51,313.7,full,120,80,160,processed,26.52,filename=unnamed.jpg
img_053e1b11ba,upload_dashboard,2026-06-10T09:19:05,upload,data\raw_images\img_053e1b11ba.jpg,data\processed_images\img_053e1b11ba_processed_advanced.jpg,512,341,51.51,313.7,full,120,80,160,processed,26.78,filename=unnamed.jpg
img_d4641450b7,upload_dashboard,2026-06-10T09:19:05,upload,data\raw_images\img_d4641450b7.jpg,data\processed_images\img_d4641450b7_processed_advanced.jpg,512,341,51.51,313.7,full,120,80,160,processed,26.57,filename=unnamed.jpg
img_5cedc1a482,upload_dashboard,2026-06-10T09:19:05,upload,data\raw_images\img_5cedc1a482.jpg,data\processed_images\img_5cedc1a482_processed_advanced.jpg,512,341,51.51,313.7,full,120,80,160,processed,30.45,filename=unnamed.jpg
img_6afe4f3e46,upload_dashboard,2026-06-10T09:19:05,upload,data\raw_images\img_6afe4f3e46.jpg,data\processed_images\img_6afe4f3e46_processed_advanced.jpg,512,341,51.51,313.7,full,120,80,160,processed,32.0,filename=unnamed.jpg
img_108c063106,upload_dashboard,2026-06-10T09:19:05,upload,data\raw_images\img_108c063106.jpg,data\processed_images\img_108c063106_processed_advanced.jpg,512,341,51.51,313.7,full,120,80,160,processed,29.17,filename=unnamed.jpg
img_9eed10339e,upload_dashboard,2026-06-10T09:19:05,upload,data\raw_images\img_9eed10339e.jpg,data\processed_images\img_9eed10339e_processed_advanced.jpg,512,341,51.51,313.7,full,120,80,160,processed,35.28,filename=unnamed.jpg
img_360adb391f,upload_dashboard,2026-06-10T09:19:05,upload,data\raw_images\img_360adb391f.jpg,data\processed_images\img_360adb391f_processed_advanced.jpg,512,341,51.51,313.7,full,120,80,160,processed,26.76,filename=unnamed.jpg
img_375f7b9315,upload_dashboard,2026-06-10T09:19:05,upload,data\raw_images\img_375f7b9315.jpg,data\processed_images\img_375f7b9315_processed_advanced.jpg,512,341,51.51,313.7,full,120,80,160,processed,29.55,filename=unnamed.jpg
img_e0e991456e,upload_dashboard,2026-06-10T09:19:05,upload,data\raw_images\img_e0e991456e.jpg,data\processed_images\img_e0e991456e_processed_advanced.jpg,512,341,51.51,313.7,full,120,80,160,processed,24.52,filename=unnamed.jpg
img_bd172b3929,upload_dashboard,2026-06-10T09:19:05,upload,data\raw_images\img_bd172b3929.jpg,data\processed_images\img_bd172b3929_processed_advanced.jpg,512,341,51.51,313.7,full,120,80,160,processed,28.38,filename=unnamed.jpg
img_9388d3e84b,camera:0,2026-06-10T09:19:27,motion_capture_advanced,data\raw_images\img_9388d3e84b.jpg,data\processed_images\img_9388d3e84b_processed_advanced.jpg,640,480,145.37,69.94,full,120,80,160,processed,32.85,"motion_score=52186.0, diff_threshold=25, min_area=800, cooldown=1.0"
img_960897648e,upload_dashboard,2026-06-10T09:21:19,upload,data\raw_images\img_960897648e.jpg,data\processed_images\img_960897648e_processed_advanced.jpg,512,341,51.51,313.7,full,120,80,160,processed,28.31,filename=unnamed.jpg
